N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
110,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/3,8890/3,                          Superficial leiomyosarcoma,Si,Malignant
111,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/3,8890/3,                          Deep leiomyosarcoma,Si,Malignant
112,"Leiomyosarcoma (8890,8891,8895-8896)",Epitheliod leiomyosarcoma (8891),/0,8891/0,Epithelioid leiomyoma,Si,Benign
113,"Leiomyosarcoma (8890,8891,8895-8896)",Epitheliod leiomyosarcoma (8891),/1,8891/1,Epithelioid smooth muscle tumour of uncertain malignant potential,Si,Borderline
114,"Leiomyosarcoma (8890,8891,8895-8896)",Epitheliod leiomyosarcoma (8891),  ,      ,Spindle leiomyosarcoma,Si,Malignant
115,"Leiomyosarcoma (8890,8891,8895-8896)",Epitheliod leiomyosarcoma (8891),/3,8891/3,Epithelioid leiomyosarcoma,Si,Malignant
,"Leiomyosarcoma (8890,8891,8895-8896)",Myosarcoma (8895),/0,8895/0,Myoma,,
,"Leiomyosarcoma (8890,8891,8895-8896)",Myosarcoma (8895),/3,8895/3,Myosarcoma,,
116,"Leiomyosarcoma (8890,8891,8895-8896)",Myxoid leiomyosarcoma (8896),/0,8896/0,Myxoid leiomyoma,Si,Benign
117,"Leiomyosarcoma (8890,8891,8895-8896)",Myxoid leiomyosarcoma (8896),/1,8896/1, Myxoid smooth muscle tumour of uncertain malignant potential,Si,Borderline
118,"Leiomyosarcoma (8890,8891,8895-8896)",Myxoid leiomyosarcoma (8896),,,Spindle smooth muscle tumour of uncertain malignant potential,Si,Borderline
119,"Leiomyosarcoma (8890,8891,8895-8896)",Myxoid leiomyosarcoma (8896),/3,8896/3,Myxoid leiomyosarcoma,Si,Malignant
120,,,/0,8900/0,Rhabdomyoma NOS,Si,Benign
121,,,,,     Rhabdomyoma,Si,Benign
122,,,/0,8900/0,Cardiac rhabdomyoma,Si,Benign
123,,,/3,8900/3,"Rhabdomyosarcoma, NOS",Si,Malignant
124,Pleomorphic rhabdomyosarcoma (8901),Pleomorphic rhabdomyosarcoma (8901),/3,8901/3,Pleomorphic rhabdomyosarcoma NOS,Si,Malignant
125,Pleomorphic rhabdomyosarcoma (8901),Pleomorphic rhabdomyosarcoma (8901),/3,8901/3,Pleomorphic rhabdomyosarcoma,Si,Malignant
126,Pleomorphic rhabdomyosarcoma (8901),Pleomorphic rhabdomyosarcoma (8901),/3,8901/3,"Rhabdomyosarcoma, pleomorphic-type",Si,Malignant
127,"Pediatric rhabdomyosarcoma (8910, 8920)",Embryonal rhabdomyosarcoma (8910),/3,8910/3,Embryonal rhabdomyosarcoma NOS,Si,Malignant
128,"Pediatric rhabdomyosarcoma (8910, 8920)",Embryonal rhabdomyosarcoma (8910),/3,8910/3,Embryonal rhabdomyosarcoma,Si,Malignant
129,"Pediatric rhabdomyosarcoma (8910, 8920)",Embryonal rhabdomyosarcoma (8910),/3,8910/3,"Embryonal rhabdomyosarcoma, anaplastic",Si,Malignant
130,,,/3,8912/3,Spindle cell rhabdomyosarcoma,Si,Malignant
131,,,/3,8912/3,Spindle cell / sclerosing rhabdomyosarcoma,Si,Malignant
132,,,/3,8912/3,"Rhabdomyosarcoma, spindle cell / sclerosing type",Si,Malignant
133,,,,,Congenital spindle cell rhabdomyosarcoma with VGLL2/NCOA2/CITED2 rearrangements,Si,Malignant
134,,,,,MYOD1-mutant spindle cell / sclerosing rhabdomyosarcoma,Si,Malignant
